iter	Passed	Remaining
734	37315	13454
735	37366	13403
736	37417	13352
737	37469	13302
738	37522	13252
739	37575	13202
740	37626	13151
741	37679	13101
742	37730	13050
743	37782	13000
744	37831	12948
745	37884	12898
746	37931	12846
747	37978	12794
748	38024	12742
749	38070	12690
750	38126	12641
751	38170	12588
752	38229	12540
753	38279	12489
754	38334	12439
755	38385	12388
756	38437	12338
757	38494	12289
758	38546	12239
759	38593	12187
760	38641	12135
761	38696	12086
762	38747	12035
763	38801	11985
764	38846	11933
765	38892	11881
766	38942	11829
767	38993	11779
768	39037	11726
769	39097	11678
770	39149	11627
771	39196	11576
772	39250	11526
773	39304	11476
774	39350	11424
775	39399	11373
776	39447	11321
777	39496	11270
778	39555	11221
779	39600	11169
780	39649	11118
781	39699	11067
782	39747	11015
783	39797	10964
784	39845	10913
785	39897	10862
786	39954	10813
787	40004	10762
788	40051	10710
789	40103	10660
790	40146	10607
791	40198	10557
792	40253	10507
793	40305	10457
794	40338	10401
795	40382	10349
796	40434	10298
797	40480	10247
798	40526	10195
799	40580	10145
800	40634	10095
801	40685	10044
802	40731	9992
803	40778	9941
804	40832	9891
805	40881	9840
806	40935	9789
807	40982	9738
808	41031	9687
809	41086	9637
810	41135	9586
811	41196	9538
812	41242	9486
813	41287	9434
814	41342	9384
815	41395	9334
816	41454	9285
817	41505	9234
818	41561	9185
819	41617	9135
820	41668	9084
821	41716	9033
822	41766	8982
823	41820	8932
824	41869	8881
825	41920	8830
826	41967	8779
827	42027	8730
828	42084	8680
829	42118	8626
830	42174	8577
831	42221	8525
832	42277	8475
833	42329	8425
834	42380	8374
835	42440	8325
836	42488	8274
837	42541	8224
838	42599	8174
839	42655	8124
840	42707	8074
841	42762	8024
842	42818	7974
843	42869	7923
844	42921	7873
845	42973	7822
846	43028	7772
847	43077	7721
848	43128	7670
849	43185	7620
850	43251	7572
851	43299	7521
852	43350	7470
853	43405	7420
854	43462	7370
855	43514	7320
856	43567	7269
857	43618	7218
858	43670	7168
859	43718	7116
860	43773	7066
861	43833	7017
862	43879	6965
863	43939	6916
864	43996	6866
865	44055	6816
866	44108	6766
867	44161	6715
868	44211	6664
869	44264	6614
870	44316	6563
871	44372	6513
872	44419	6461
873	44470	6411
874	44520	6360
875	44572	6309
876	44619	6257
877	44668	6206
878	44720	6156
879	44779	6106
880	44829	6055
881	44882	6004
882	44943	5955
883	44997	5904
884	45053	5854
885	45107	5803
886	45165	5753
887	45218	5703
888	45261	5651
889	45315	5600
890	45367	5550
891	45420	5499
892	45473	5448
893	45524	5397
894	45573	5346
895	45621	5295
896	45671	5244
897	45716	5192
898	45763	5141
899	45814	5090
900	45859	5038
901	45915	4988
902	45964	4937
903	46006	4885
904	46052	4834
905	46106	4783
906	46154	4732
907	46209	4682
908	46264	4631
909	46310	4580
910	46365	4529
911	46420	4479
912	46466	4427
913	46518	4377
914	46562	4325
915	46617	4274
916	46666	4223
917	46708	4172
918	46756	4121
919	46806	4070
920	46868	4020
921	46913	3968
922	46956	3917
923	46999	3865
924	47052	3815
925	47105	3764
926	47150	3713
927	47200	3662
928	47244	3610
929	47297	3560
930	47352	3509
931	47389	3457
932	47437	3406
933	47488	3355
934	47538	3304
935	47583	3253
936	47642	3203
937	47697	3152
938	47753	3102
939	47805	3051
940	47835	2999
941	47883	2948
942	47931	2897
943	47978	2846
944	48023	2794
945	48069	2743
946	48116	2692
947	48163	2641
948	48208	2590
949	48265	2540
950	48319	2489
951	48362	2438
952	48414	2387
953	48468	2337
954	48519	2286
955	48566	2235
956	48608	2184
957	48659	2133
958	48712	2082
959	48761	2031
960	48813	1980
961	48861	1930
962	48916	1879
963	48968	1828
964	49023	1778
965	49060	1726
966	49114	1676
967	49164	1625
968	49225	1574
969	49275	1523
970	49328	1473
971	49382	1422
972	49433	1371
973	49486	1320
974	49533	1270
975	49564	1218
976	49619	1168
977	49651	1116
978	49705	1066
979	49761	1015
980	49812	964
981	49862	913
982	49902	863
983	49954	812
984	50011	761
985	50063	710
986	50112	660
987	50164	609
988	50211	558
989	50264	507
990	50320	456
991	50371	406
992	50430	355
993	50482	304
994	50537	253
995	50593	203
996	50634	152
997	50687	101
998	50735	50
999	50784	0
